Date,Ticker,Real,Pred_LSTM
2024-06-03,BBVA,9.814,9.798354
2024-06-04,BBVA,9.68,9.784451
2024-06-05,BBVA,9.818,9.773731
2024-06-06,BBVA,9.948,9.7697935
2024-06-07,BBVA,9.88,9.764437
2024-06-10,BBVA,10.085,9.754998
2024-06-11,BBVA,10.195,9.742603
2024-06-12,BBVA,10.1,9.731618
2024-06-13,BBVA,10.025,9.719797
2024-06-14,BBVA,10.035,9.708522
2024-06-17,BBVA,10.03,9.699345
2024-06-18,BBVA,10.175,9.693167
2024-06-19,BBVA,9.704,9.686541
2024-06-20,BBVA,9.21,9.680482
2024-06-21,BBVA,8.874,9.671259
2024-06-24,BBVA,8.694,9.665576
2024-06-25,BBVA,8.62,9.658475
2024-06-26,BBVA,8.86,9.648771
2024-06-27,BBVA,8.816,9.641932
2024-06-28,BBVA,8.898,9.636273
2024-07-01,BBVA,8.924,9.63497
2024-07-02,BBVA,8.97,9.629585
2024-07-03,BBVA,8.958,9.626486
2024-07-04,BBVA,9.182,9.626191
2024-07-05,BBVA,9.232,9.628223
2024-07-08,BBVA,9.4,9.630244
2024-07-09,BBVA,9.336,9.62928
2024-07-10,BBVA,9.36,9.631674
2024-07-11,BBVA,9.348,9.632677
2024-07-12,BBVA,9.44,9.632741
2024-07-15,BBVA,9.416,9.632587
2024-07-16,BBVA,9.466,9.629698
2024-07-17,BBVA,9.468,9.630666
2024-07-18,BBVA,9.512,9.633362
2024-07-19,BBVA,9.59,9.633174
2024-07-22,BBVA,9.552,9.635739
2024-07-23,BBVA,9.276,9.637989
2024-07-24,BBVA,9.046,9.641295
2024-07-25,BBVA,9.106,9.644683
2024-07-26,BBVA,8.912,9.649413
2024-07-29,BBVA,9.034,9.658208
2024-07-30,BBVA,8.922,9.669256
2024-07-31,BBVA,8.894,9.668624
2024-08-01,BBVA,9.068,9.661977
2024-08-02,BBVA,9.252,9.649263
2024-08-05,BBVA,9.322,9.627322
2024-08-06,BBVA,9.41,9.607866
2024-08-07,BBVA,9.462,9.587797
2024-08-08,BBVA,9.772,9.567575
2024-08-09,BBVA,9.74,9.55125
2024-08-12,BBVA,9.74,9.539179
2024-08-13,BBVA,9.724,9.531377
2024-08-14,BBVA,9.664,9.529716
2024-08-15,BBVA,9.954,9.534203
2024-08-16,BBVA,9.936,9.541679
2024-08-19,BBVA,9.708,9.551495
2024-08-20,BBVA,9.3,9.561234
2024-08-21,BBVA,9.254,9.572432
2024-08-22,BBVA,9.334,9.583091
2024-08-23,BBVA,9.552,9.594363
2024-08-26,BBVA,9.652,9.605719
2024-08-27,BBVA,9.312,9.617982
2024-08-28,BBVA,9.272,9.630762
2024-08-29,BBVA,9.23,9.64541
2024-08-30,BBVA,9.288,9.659429
2024-09-02,BBVA,9.4,9.668454
2024-09-03,BBVA,9.442,9.664025
2024-09-04,BBVA,9.288,9.6546755
2024-09-05,BBVA,9.1,9.648887
2024-09-06,BBVA,9.29,9.63799
2024-09-09,BBVA,9.074,9.6298895
2024-09-10,BBVA,9.142,9.617682
2024-09-11,BBVA,9.156,9.605233
2024-09-12,BBVA,9.03,9.598149
2024-09-13,BBVA,9.042,9.593682
2024-09-16,BBVA,9.058,9.59167
2024-09-17,BBVA,9.018,9.589946
2024-09-18,BBVA,9.094,9.587955
2024-09-19,BBVA,9.15,9.589114
2024-09-20,BBVA,9.416,9.589234
2024-09-23,BBVA,9.552,9.588617
2024-09-24,BBVA,9.606,9.588211
2024-09-25,BBVA,8.97,9.5862875
2024-09-26,BBVA,9.342,9.5888405
2024-09-27,BBVA,9.102,9.588224
2024-09-30,BBVA,9.124,9.58311
2024-10-01,BBVA,8.914,9.564768
2024-10-02,BBVA,8.878,9.54297
2024-10-03,BBVA,9.086,9.522888
2024-10-04,BBVA,9.376,9.503722
2024-10-07,BBVA,9.428,9.480083
2024-10-08,BBVA,9.328,9.445147
