Date,Ticker,Sector,Open,High,Low,Close,Volume,PctChange
2020-10-14,BBVA,Financiero,226.0,2313.0,2248.0,2268.0,38180000.0,0.0044
2020-10-15,BBVA,Financiero,2223.0,2269.0,2183.0,2257.0,19410000.0,-0.0049
2020-10-16,BBVA,Financiero,2278.0,2347.0,221.0,2334.0,20030000.0,0.0341
2020-10-19,BBVA,Financiero,2343.0,2382.0,232.0,2356.0,17280000.0,0.009399999999999999
2020-10-20,BBVA,Financiero,2343.0,2468.0,2333.0,2428.0,24550000.0,0.030600000000000002
2020-10-21,BBVA,Financiero,2461.0,2501.0,2394.0,2394.0,19860000.0,-0.013999999999999999
2020-10-22,BBVA,Financiero,2366.0,244.0,2332.0,2427.0,17170000.0,0.0138
2020-10-23,BBVA,Financiero,2442.0,2503.0,2431.0,2495.0,20240000.0,0.027999999999999997
2020-10-26,BBVA,Financiero,241.0,2489.0,2384.0,2436.0,21050000.0,-0.0236
2020-10-27,BBVA,Financiero,2491.0,254.0,238.0,2406.0,30710000.0,-0.0123
2020-10-28,BBVA,Financiero,235.0,2404.0,2305.0,2366.0,29530000.0,-0.0166
2020-10-29,BBVA,Financiero,237.0,2412.0,2305.0,2339.0,18550000.0,-0.011399999999999999
2020-10-30,BBVA,Financiero,234.0,2462.0,2332.0,2462.0,23550000.0,0.0526
2020-11-02,BBVA,Financiero,25.0,2518.0,2453.0,2499.0,25430000.0,0.015
2020-11-03,BBVA,Financiero,2527.0,2641.0,251.0,2631.0,33530000.0,0.0528
2020-11-04,BBVA,Financiero,249.0,253.0,2426.0,2456.0,65110000.0,-0.0665
2020-11-05,BBVA,Financiero,2486.0,2569.0,2422.0,256.0,36100000.0,0.042300000000000004
2020-11-06,BBVA,Financiero,256.0,262.0,2482.0,2486.0,21940000.0,-0.028900000000000002
2020-11-09,BBVA,Financiero,2536.0,29.0,2514.0,29.0,79150000.0,0.16649999999999998
2020-11-10,BBVA,Financiero,2907.0,3091.0,2884.0,3091.0,65830000.0,0.0659
2020-11-11,BBVA,Financiero,3078.0,3165.0,3061.0,3143.0,38880000.0,0.0168
2020-11-12,BBVA,Financiero,305.0,3116.0,301.0,309.0,46620000.0,-0.0169
2020-11-13,BBVA,Financiero,305.0,3195.0,3049.0,3174.0,29840000.0,0.027200000000000002
2020-11-16,BBVA,Financiero,38.0,3837.0,358.0,3658.0,89220000.0,0.1525
2020-11-17,BBVA,Financiero,3624.0,364.0,3393.0,3497.0,53350000.0,-0.044000000000000004
2020-11-18,BBVA,Financiero,349.0,3552.0,3429.0,3511.0,28290000.0,0.004
2020-11-19,BBVA,Financiero,3433.0,3598.0,3429.0,3572.0,25850000.0,0.0174
2020-11-20,BBVA,Financiero,3598.0,3624.0,3571.0,3599.0,27370000.0,0.0076
2020-11-23,BBVA,Financiero,363.0,3675.0,3612.0,363.0,22380000.0,0.0086
2020-11-24,BBVA,Financiero,368.0,3776.0,3644.0,3776.0,23390000.0,0.04019999999999999
2020-11-25,BBVA,Financiero,381.0,384.0,3683.0,3785.0,23850000.0,0.0024
2020-11-26,BBVA,Financiero,3795.0,3813.0,3675.0,377.0,30270000.0,-0.004
2020-11-27,BBVA,Financiero,374.0,3958.0,3738.0,3958.0,45250000.0,0.0499
2020-11-30,BBVA,Financiero,3865.0,3966.0,3815.0,393.0,51850000.0,-0.0070999999999999995
2020-12-01,BBVA,Financiero,3865.0,4007.0,3837.0,4005.0,45130000.0,0.0191
2020-12-02,BBVA,Financiero,3983.0,408.0,3945.0,408.0,43620000.0,0.0187
