Date,BCE_DFR,BCE_MLF,BCE_MRO
2022-07-01,0.0,0.75,0.5
2022-09-01,0.75,1.5,1.25
2022-11-01,1.5,2.25,2.0
2022-12-01,2.0,2.75,2.5
2023-02-01,2.5,3.25,3.0
2023-03-01,3.0,3.75,3.5
2023-05-01,3.25,4.0,3.75
2023-06-01,3.5,4.25,4.0
2023-07-01,3.75,4.5,4.25
2023-09-01,4.0,4.75,4.5
2023-10-01,4.0,4.75,4.5
2023-12-01,4.0,4.75,4.5
2024-01-01,4.0,4.75,4.5
2024-03-01,4.0,4.75,4.5
2024-04-01,4.0,4.75,4.5
2024-06-01,3.75,4.5,4.25
2024-07-01,3.75,4.5,4.25
2024-09-01,3.5,3.9,3.65
2024-10-01,3.25,3.65,3.4
2024-12-01,3.0,3.4,3.15
2025-01-01,2.75,3.15,2.9
2025-03-01,2.5,2.9,2.65
2025-04-01,2.25,2.65,2.4
2025-06-01,2.0,2.4,2.15
2025-07-01,2.0,2.4,2.15
2025-09-01,2.0,2.4,2.15
2025-10-01,2.0,2.4,2.15
