Datos históricos de Banco de Sabadell (SABE)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;3,2560;3,2200;3,2560;3,1810;7,03M;1,09 %
13.10.2025;3,2210;3,2080;3,2210;3,1780;5,97M;1,71 %
10.10.2025;3,1670;3,2300;3,2770;3,1670;19,94M;-2,61 %
09.10.2025;3,2520;3,2890;3,3070;3,2470;20,28M;-1,69 %
08.10.2025;3,3080;3,2700;3,3350;3,2530;19,04M;1,01 %
07.10.2025;3,2750;3,2900;3,3190;3,2750;11,09M;-0,97 %
06.10.2025;3,3070;3,3100;3,3270;3,2500;13,42M;-0,39 %
03.10.2025;3,3200;3,2810;3,3580;3,2810;12,24M;1,13 %
02.10.2025;3,2830;3,2780;3,3460;3,2660;15,28M;-0,30 %
01.10.2025;3,2930;3,2920;3,3010;3,2450;16,24M;-0,21 %
30.09.2025;3,3000;3,2800;3,3290;3,2800;10,51M;0,21 %
29.09.2025;3,2930;3,3150;3,3280;3,2850;9,51M;-1,32 %
26.09.2025;3,3370;3,2740;3,3370;3,2530;12,37M;2,27 %
25.09.2025;3,2630;3,2800;3,2880;3,2490;10,22M;-0,88 %
24.09.2025;3,2920;3,2550;3,3040;3,2180;9,14M;1,04 %
23.09.2025;3,2580;3,2220;3,2640;3,1910;11,59M;1,56 %
22.09.2025;3,2080;3,3200;3,3200;3,1860;23,68M;-3,92 %
19.09.2025;3,3390;3,2290;3,3390;3,2180;46,08M;3,60 %
18.09.2025;3,2230;3,2000;3,2280;3,1750;12,21M;1,22 %
17.09.2025;3,1840;3,2670;3,2730;3,1430;16,74M;-2,36 %
16.09.2025;3,2610;3,3350;3,3400;3,2410;15,74M;-2,54 %
15.09.2025;3,3460;3,3900;3,3940;3,3170;14,20M;-1,06 %
12.09.2025;3,3820;3,3580;3,3820;3,3020;11,44M;0,71 %
11.09.2025;3,3580;3,3640;3,3670;3,3240;8,82M;-0,18 %
10.09.2025;3,3640;3,3020;3,3640;3,2860;14,97M;1,88 %
09.09.2025;3,3020;3,2500;3,3020;3,2050;8,51M;1,76 %
08.09.2025;3,2450;3,2110;3,2580;3,2110;7,63M;0,81 %
05.09.2025;3,2190;3,2500;3,2800;3,1970;9,23M;-0,89 %
04.09.2025;3,2480;3,2200;3,2500;3,1780;6,15M;1,03 %
03.09.2025;3,2150;3,1930;3,2190;3,1610;6,62M;0,75 %
