Datos históricos de CaixaBank (CABK)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;9,102;8,952;9,102;8,912;5,50M;1,34 %
13.10.2025;8,982;9,034;9,148;8,974;3,36M;-0,22 %
10.10.2025;9,002;9,022;9,164;8,996;8,92M;-0,33 %
09.10.2025;9,032;9,090;9,100;9,008;3,81M;-0,42 %
08.10.2025;9,070;8,922;9,116;8,922;3,33M;1,75 %
07.10.2025;8,914;8,934;8,988;8,886;3,74M;-0,27 %
06.10.2025;8,938;9,018;9,072;8,884;3,96M;-1,02 %
03.10.2025;9,030;9,088;9,186;8,986;4,25M;0,09 %
02.10.2025;9,022;9,100;9,160;9,022;4,89M;-0,81 %
01.10.2025;9,096;8,980;9,096;8,900;6,36M;1,68 %
30.09.2025;8,946;8,870;8,980;8,866;4,49M;0,70 %
29.09.2025;8,884;8,932;8,964;8,850;4,36M;-0,47 %
26.09.2025;8,926;8,820;8,930;8,818;5,09M;1,57 %
25.09.2025;8,788;8,756;8,820;8,688;4,42M;0,41 %
24.09.2025;8,752;8,618;8,758;8,562;2,90M;1,48 %
23.09.2025;8,624;8,636;8,648;8,532;5,03M;0,14 %
22.09.2025;8,612;8,742;8,752;8,548;4,88M;-1,55 %
19.09.2025;8,748;8,726;8,794;8,640;14,48M;1,30 %
18.09.2025;8,636;8,696;8,708;8,542;4,70M;0,44 %
17.09.2025;8,598;8,688;8,718;8,582;5,02M;-1,04 %
16.09.2025;8,688;8,878;8,882;8,666;5,52M;-2,38 %
15.09.2025;8,900;8,800;8,900;8,794;3,91M;1,51 %
12.09.2025;8,768;8,780;8,796;8,672;3,99M;0,02 %
11.09.2025;8,766;8,772;8,800;8,700;4,04M;-0,05 %
10.09.2025;8,770;8,720;8,816;8,680;6,31M;1,06 %
09.09.2025;8,678;8,690;8,694;8,536;4,75M;0,28 %
08.09.2025;8,654;8,596;8,682;8,576;3,62M;0,91 %
05.09.2025;8,576;8,670;8,700;8,528;5,52M;-0,90 %
04.09.2025;8,654;8,504;8,662;8,468;4,50M;1,76 %
03.09.2025;8,504;8,452;8,534;8,380;4,58M;0,64 %
02.09.2025;8,450;8,558;8,588;8,384;3,47M;-1,17 %
01.09.2025;8,550;8,570;8,608;8,494;2,38M;0,23 %
29.08.2025;8,530;8,482;8,544;8,432;3,96M;0,16 %
28.08.2025;8,516;8,462;8,530;8,408;3,31M;0,83 %
27.08.2025;8,446;8,634;8,676;8,410;6,52M;-2,43 %
26.08.2025;8,656;8,648;8,660;8,532;6,94M;-1,03 %
25.08.2025;8,746;8,756;8,820;8,738;2,23M;-0,55 %
22.08.2025;8,794;8,830;8,894;8,794;3,50M;-0,59 %
21.08.2025;8,846;8,712;8,846;8,712;4,76M;1,33 %
20.08.2025;8,730;8,738;8,788;8,680;3,30M;-0,57 %
19.08.2025;8,780;8,796;8,854;8,772;5,16M;-0,27 %
18.08.2025;8,804;8,756;8,804;8,694;4,27M;-0,07 %
15.08.2025;8,810;8,870;8,894;8,782;3,87M;-0,11 %
14.08.2025;8,820;8,762;8,820;8,748;4,10M;0,62 %
