Datos históricos de Cellnex Telecom (CLNX)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;29,24;29,15;29,61;29,08;489,73K;0,21 %
13.10.2025;29,18;29,40;29,53;29,15;463,60K;-1,15 %
10.10.2025;29,52;29,82;30,20;29,52;733,52K;-0,84 %
09.10.2025;29,77;29,47;29,77;29,35;580,79K;0,88 %
08.10.2025;29,51;29,09;29,73;28,95;950,90K;1,65 %
07.10.2025;29,03;29,24;29,32;28,76;1,11M;-1,76 %
06.10.2025;29,55;29,58;29,83;29,50;620,62K;-0,10 %
03.10.2025;29,58;29,80;29,94;29,57;633,73K;-0,37 %
02.10.2025;29,69;29,13;29,73;29,04;803,49K;1,71 %
01.10.2025;29,19;29,33;29,50;29,05;858,76K;-1,02 %
30.09.2025;29,49;29,13;29,52;28,87;933,00K;1,17 %
29.09.2025;29,15;28,69;29,21;28,50;678,53K;1,64 %
26.09.2025;28,68;28,29;28,76;28,13;672,20K;1,45 %
25.09.2025;28,27;28,35;28,49;28,18;685,89K;-0,49 %
24.09.2025;28,41;28,64;28,79;28,40;915,07K;-0,94 %
23.09.2025;28,68;28,92;29,23;28,68;1,20M;-0,38 %
22.09.2025;28,79;29,09;29,22;28,76;735,29K;-1,74 %
19.09.2025;29,30;29,56;29,80;29,06;2,39M;0,31 %
18.09.2025;29,21;29,60;29,76;29,21;879,46K;-1,22 %
17.09.2025;29,57;29,40;29,74;29,16;772,15K;0,78 %
16.09.2025;29,34;30,15;30,21;29,26;1,35M;-2,69 %
15.09.2025;30,15;30,47;30,76;30,15;725,38K;-1,08 %
12.09.2025;30,48;30,30;30,51;30,05;703,87K;0,76 %
11.09.2025;30,25;30,13;30,71;30,04;513,37K;0,50 %
10.09.2025;30,10;29,77;30,20;29,65;691,46K;0,50 %
09.09.2025;29,95;30,10;30,21;29,90;673,17K;-0,79 %
08.09.2025;30,19;30,50;30,80;30,19;796,23K;-1,40 %
05.09.2025;30,62;30,02;30,62;29,84;811,11K;2,31 %
04.09.2025;29,93;29,70;30,28;29,69;539,81K;0,40 %
03.09.2025;29,81;29,70;29,88;29,50;786,16K;0,51 %
02.09.2025;29,66;30,55;30,55;29,54;1,03M;-2,98 %
01.09.2025;30,57;30,42;30,62;30,28;533,04K;0,59 %
29.08.2025;30,39;31,05;31,13;30,29;803,00K;-2,09 %
28.08.2025;31,04;30,92;31,12;30,66;750,31K;0,42 %
27.08.2025;30,91;30,80;31,28;30,73;660,17K;0,16 %
26.08.2025;30,86;31,15;31,29;30,84;1,06M;-0,90 %
25.08.2025;31,14;31,05;31,30;30,95;674,82K;0,35 %
22.08.2025;31,03;29,91;31,05;29,88;814,40K;3,71 %
21.08.2025;29,92;30,20;30,20;29,81;851,24K;-1,06 %
20.08.2025;30,24;30,30;30,39;30,12;878,74K;-0,33 %
19.08.2025;30,34;30,26;30,35;29,98;696,85K;0,63 %
18.08.2025;30,15;30,60;30,60;30,15;609,78K;-1,15 %
15.08.2025;30,50;30,35;30,55;30,19;684,46K;0,89 %
14.08.2025;30,23;30,07;30,44;29,96;749,87K;0,80 %
13.08.2025;29,99;29,78;30,17;29,78;592,05K;0,91 %
12.08.2025;29,72;30,18;30,30;29,72;819,97K;-1,23 %
11.08.2025;30,09;30,31;30,38;30,01;1,02M;-0,03 %
08.08.2025;30,10;30,57;30,66;30,10;727,63K;-1,18 %
07.08.2025;30,46;30,42;30,53;30,12;909,85K;0,03 %
06.08.2025;30,45;30,80;30,85;30,45;1,31M;-1,26 %
05.08.2025;30,84;31,36;31,36;30,76;764,78K;-0,96 %
04.08.2025;31,14;31,27;31,37;30,72;554,61K;-0,80 %
01.08.2025;31,39;31,29;31,55;30,27;1,30M;1,26 %
31.07.2025;31,00;31,26;31,38;30,80;1,21M;-1,18 %
30.07.2025;31,37;31,10;31,59;30,95;774,64K;0,71 %
29.07.2025;31,15;31,80;31,80;31,01;1,78M;-3,26 %
28.07.2025;32,20;32,38;32,61;32,08;704,23K;0,16 %
25.07.2025;32,15;32,87;32,87;32,14;1,14M;-2,99 %
24.07.2025;33,14;33,03;33,79;32,94;1,13M;-0,15 %
23.07.2025;33,19;33,55;33,77;33,19;1,34M;-1,22 %
22.07.2025;33,60;32,92;33,61;32,92;1,09M;1,57 %
21.07.2025;33,08;32,94;33,14;32,73;723,25K;0,64 %
18.07.2025;32,87;32,66;32,88;32,50;912,72K;1,05 %
17.07.2025;32,53;32,10;32,53;32,10;751,30K;1,34 %
16.07.2025;32,10;32,00;32,20;31,76;1,50M;0,19 %
15.07.2025;32,04;32,30;32,53;31,97;726,54K;-0,93 %
14.07.2025;32,34;32,01;32,34;31,78;691,36K;0,28 %
11.07.2025;32,25;32,25;32,38;32,12;599,80K;-0,15 %
10.07.2025;32,30;32,50;32,55;32,19;562,52K;-0,15 %
09.07.2025;32,35;32,30;32,61;32,21;624,94K;0,12 %
08.07.2025;32,31;32,75;32,95;32,07;745,24K;-1,43 %
07.07.2025;32,78;33,24;33,36;32,73;619,70K;-1,41 %
04.07.2025;33,25;33,44;33,49;32,96;549,06K;-0,24 %
