Datos históricos de Endesa (ELE)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;28,840;28,450;28,960;28,440;776,63K;1,87 %
13.10.2025;28,310;28,210;28,350;28,160;446,76K;0,35 %
10.10.2025;28,210;28,080;28,350;28,080;560,60K;0,39 %
09.10.2025;28,100;27,930;28,180;27,870;610,92K;0,64 %
08.10.2025;27,920;27,640;28,070;27,640;541,21K;1,45 %
07.10.2025;27,520;27,650;27,710;27,300;664,20K;-0,76 %
06.10.2025;27,730;27,710;27,900;27,550;617,94K;0,33 %
03.10.2025;27,640;27,410;27,710;27,350;517,52K;0,99 %
02.10.2025;27,370;27,390;27,400;27,110;492,21K;-0,47 %
01.10.2025;27,500;27,200;27,510;27,030;618,85K;1,07 %
30.09.2025;27,210;26,840;27,230;26,650;785,51K;1,11 %
29.09.2025;26,910;26,830;26,920;26,690;410,29K;0,49 %
26.09.2025;26,780;26,730;26,900;26,670;579,40K;0,49 %
25.09.2025;26,650;26,560;26,800;26,470;547,58K;0,38 %
24.09.2025;26,550;26,560;26,720;26,470;594,02K;0,72 %
23.09.2025;26,360;26,460;26,820;26,360;725,48K;-0,79 %
22.09.2025;26,570;26,430;26,810;26,370;491,50K;0,45 %
19.09.2025;26,450;26,170;26,450;26,070;2,82M;0,72 %
18.09.2025;26,260;26,190;26,410;26,070;452,95K;0,34 %
17.09.2025;26,170;26,350;26,470;26,160;558,64K;-1,25 %
16.09.2025;26,500;26,780;26,780;26,440;982,88K;-0,93 %
15.09.2025;26,750;26,650;26,750;26,470;670,32K;0,64 %
12.09.2025;26,580;26,500;26,740;26,420;1,00M;0,49 %
11.09.2025;26,450;26,040;26,450;26,040;901,12K;1,89 %
10.09.2025;25,960;26,030;26,100;25,910;422,91K;0,19 %
09.09.2025;25,910;25,890;26,000;25,850;499,05K;0,27 %
08.09.2025;25,840;25,750;25,880;25,650;264,37K;0,39 %
05.09.2025;25,740;25,560;25,740;25,560;344,32K;0,74 %
04.09.2025;25,550;25,560;25,840;25,550;457,85K;-0,20 %
03.09.2025;25,600;25,400;25,660;25,250;862,35K;-0,08 %
02.09.2025;25,620;25,760;25,830;25,560;517,25K;-0,93 %
01.09.2025;25,860;26,050;26,060;25,850;381,52K;-0,69 %
29.08.2025;26,040;26,080;26,170;25,940;525,94K;-0,50 %
28.08.2025;26,170;26,430;26,430;26,010;329,80K;-0,87 %
27.08.2025;26,400;26,600;26,740;26,320;489,26K;-0,56 %
26.08.2025;26,550;26,500;26,810;26,420;905,65K;0,04 %
25.08.2025;26,540;26,610;26,650;26,350;361,16K;-0,71 %
22.08.2025;26,730;26,650;27,000;26,650;383,36K;-0,07 %
21.08.2025;26,750;26,750;26,800;26,630;441,82K;0,34 %
20.08.2025;26,660;26,490;26,760;26,470;522,48K;1,18 %
19.08.2025;26,350;26,360;26,510;26,340;569,05K;-0,11 %
18.08.2025;26,380;26,530;26,680;26,300;424,82K;-0,68 %
15.08.2025;26,560;26,420;26,560;26,160;726,04K;0,61 %
14.08.2025;26,400;25,910;26,400;25,910;570,67K;1,81 %
13.08.2025;25,930;25,740;26,050;25,740;466,63K;1,01 %
12.08.2025;25,670;25,730;25,900;25,650;564,58K;0,12 %
11.08.2025;25,640;25,540;25,650;25,490;493,75K;0,59 %
08.08.2025;25,490;25,650;25,870;25,490;532,69K;-0,20 %
07.08.2025;25,540;25,460;25,580;25,170;936,25K;-0,85 %
06.08.2025;25,760;25,580;25,790;25,510;455,14K;0,66 %
05.08.2025;25,590;25,700;25,700;25,490;541,81K;-0,08 %
04.08.2025;25,610;25,330;25,610;25,330;747,69K;0,95 %
01.08.2025;25,370;25,180;25,500;25,160;790,64K;0,08 %
31.07.2025;25,350;25,660;25,740;25,280;1,48M;-1,13 %
30.07.2025;25,640;25,260;25,710;25,150;796,98K;1,58 %
29.07.2025;25,240;24,430;25,310;23,760;1,55M;-1,17 %
28.07.2025;25,540;25,540;25,740;25,500;779,48K;0,00 %
25.07.2025;25,540;25,570;25,680;25,350;686,35K;0,04 %
24.07.2025;25,530;25,490;25,770;25,470;1,07M;0,31 %
23.07.2025;25,450;26,300;26,300;25,450;1,41M;-3,60 %
22.07.2025;26,400;26,100;26,400;26,080;446,05K;1,15 %
21.07.2025;26,100;25,940;26,100;25,870;660,71K;0,73 %
18.07.2025;25,910;25,930;26,050;25,820;752,05K;0,27 %
17.07.2025;25,840;25,840;25,980;25,770;686,54K;-0,15 %
16.07.2025;25,880;26,040;26,240;25,870;868,38K;-0,19 %
15.07.2025;25,930;26,150;26,240;25,930;894,47K;-0,35 %
14.07.2025;26,020;26,060;26,160;25,830;930,31K;-0,57 %
11.07.2025;26,170;26,120;26,340;26,110;676,87K;0,04 %
10.07.2025;26,160;26,510;26,670;26,160;850,39K;-1,32 %
