Datos históricos de Iberdrola (IBE)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;16,750;16,630;16,780;16,590;6,32M;1,21 %
13.10.2025;16,550;16,655;16,670;16,550;5,20M;-0,42 %
10.10.2025;16,620;16,545;16,665;16,540;5,77M;0,73 %
09.10.2025;16,500;16,410;16,525;16,370;4,75M;0,49 %
08.10.2025;16,420;16,400;16,510;16,350;6,45M;0,46 %
07.10.2025;16,345;16,300;16,380;16,185;8,60M;0,71 %
06.10.2025;16,230;16,170;16,245;16,110;4,33M;0,28 %
03.10.2025;16,185;16,175;16,240;16,090;4,73M;0,53 %
02.10.2025;16,100;16,110;16,120;15,995;5,99M;-0,46 %
01.10.2025;16,175;16,135;16,270;15,980;8,09M;0,43 %
30.09.2025;16,105;16,005;16,150;15,885;9,77M;0,44 %
29.09.2025;16,035;16,035;16,085;15,910;5,13M;0,44 %
26.09.2025;15,965;15,855;16,050;15,780;6,36M;1,14 %
25.09.2025;15,785;15,620;15,875;15,535;6,48M;0,89 %
24.09.2025;15,645;15,800;15,845;15,540;9,07M;0,00 %
23.09.2025;15,645;15,665;15,750;15,600;5,91M;0,38 %
22.09.2025;15,585;15,540;15,590;15,495;6,40M;-0,10 %
19.09.2025;15,600;15,515;15,615;15,460;25,94M;0,91 %
18.09.2025;15,460;15,540;15,570;15,330;8,24M;-0,58 %
17.09.2025;15,550;15,590;15,700;15,540;8,14M;-0,61 %
16.09.2025;15,645;15,850;15,850;15,585;10,38M;-1,17 %
15.09.2025;15,830;15,770;15,830;15,670;6,57M;0,86 %
12.09.2025;15,695;15,700;15,725;15,525;6,57M;0,13 %
11.09.2025;15,675;15,815;15,815;15,595;7,03M;-0,35 %
10.09.2025;15,730;15,750;15,775;15,570;6,26M;0,29 %
09.09.2025;15,685;15,665;15,740;15,630;5,21M;0,00 %
08.09.2025;15,685;15,730;15,780;15,660;5,00M;-0,22 %
05.09.2025;15,720;15,745;15,755;15,635;7,17M;-0,10 %
04.09.2025;15,735;15,735;15,780;15,590;5,60M;-0,41 %
03.09.2025;15,800;15,740;15,800;15,545;6,68M;-0,06 %
02.09.2025;15,810;15,870;15,935;15,735;4,15M;-0,69 %
01.09.2025;15,920;16,080;16,085;15,885;3,67M;-0,96 %
29.08.2025;16,075;16,105;16,150;16,005;5,09M;-0,68 %
28.08.2025;16,185;16,235;16,235;16,030;3,91M;-0,15 %
27.08.2025;16,210;16,215;16,305;16,155;4,08M;0,19 %
26.08.2025;16,180;16,360;16,420;16,150;14,65M;-1,16 %
25.08.2025;16,370;16,480;16,525;16,250;4,39M;-1,47 %
22.08.2025;16,615;16,535;16,785;16,535;4,28M;0,00 %
21.08.2025;16,615;16,670;16,675;16,535;5,94M;0,21 %
20.08.2025;16,580;16,400;16,635;16,395;5,22M;1,28 %
19.08.2025;16,370;16,215;16,420;16,205;6,77M;1,05 %
18.08.2025;16,200;16,365;16,410;16,165;4,86M;-0,58 %
15.08.2025;16,295;16,250;16,330;16,175;5,37M;0,43 %
14.08.2025;16,225;15,960;16,225;15,950;5,66M;2,14 %
13.08.2025;15,885;15,630;15,905;15,630;5,35M;1,70 %
