Datos históricos de Mapfre (MAP)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;4,086;4,054;4,102;4,042;2,98M;0,64 %
13.10.2025;4,060;4,130;4,158;4,056;3,44M;-1,69 %
10.10.2025;4,130;4,170;4,188;4,130;3,26M;-0,86 %
09.10.2025;4,166;4,140;4,180;4,136;2,54M;0,43 %
08.10.2025;4,148;4,090;4,158;4,088;2,47M;2,07 %
07.10.2025;4,064;4,052;4,094;4,052;2,20M;-0,20 %
06.10.2025;4,072;4,054;4,094;4,036;2,15M;0,69 %
03.10.2025;4,044;4,046;4,078;4,028;2,39M;0,35 %
02.10.2025;4,030;4,076;4,092;4,022;2,21M;-0,93 %
01.10.2025;4,068;4,028;4,098;3,984;3,04M;0,94 %
30.09.2025;4,030;4,050;4,070;4,012;2,35M;0,00 %
29.09.2025;4,030;3,990;4,074;3,986;2,59M;1,36 %
26.09.2025;3,976;3,934;3,976;3,910;2,24M;2,05 %
25.09.2025;3,896;3,900;3,910;3,862;1,63M;-0,66 %
24.09.2025;3,922;3,886;3,934;3,850;1,98M;1,34 %
23.09.2025;3,870;3,888;3,896;3,862;1,66M;-0,26 %
22.09.2025;3,880;3,826;3,886;3,804;1,54M;1,41 %
19.09.2025;3,826;3,826;3,848;3,820;4,46M;0,21 %
18.09.2025;3,818;3,820;3,824;3,790;1,45M;0,63 %
17.09.2025;3,794;3,794;3,810;3,768;1,80M;-0,21 %
16.09.2025;3,802;3,850;3,850;3,796;2,39M;-1,45 %
15.09.2025;3,858;3,920;3,928;3,854;2,80M;-1,28 %
12.09.2025;3,908;3,900;3,924;3,890;1,95M;0,46 %
11.09.2025;3,890;3,850;3,898;3,836;1,99M;0,99 %
10.09.2025;3,852;3,830;3,882;3,822;2,35M;1,16 %
09.09.2025;3,808;3,810;3,824;3,788;1,82M;0,47 %
08.09.2025;3,790;3,770;3,802;3,764;1,68M;0,53 %
05.09.2025;3,770;3,784;3,810;3,760;2,27M;-0,05 %
04.09.2025;3,772;3,766;3,800;3,762;2,57M;-0,05 %
03.09.2025;3,774;3,758;3,774;3,696;2,00M;0,16 %
02.09.2025;3,768;3,796;3,800;3,734;2,31M;-0,63 %
01.09.2025;3,792;3,756;3,792;3,746;1,53M;1,28 %
29.08.2025;3,744;3,770;3,770;3,722;1,34M;-0,58 %
28.08.2025;3,766;3,758;3,782;3,728;1,42M;0,00 %
27.08.2025;3,766;3,772;3,794;3,744;1,43M;-0,63 %
26.08.2025;3,790;3,800;3,802;3,738;2,37M;-0,47 %
25.08.2025;3,808;3,818;3,830;3,802;1,17M;-0,57 %
22.08.2025;3,830;3,856;3,862;3,826;1,86M;-0,36 %
21.08.2025;3,844;3,852;3,874;3,802;2,08M;-0,57 %
20.08.2025;3,866;3,832;3,866;3,828;1,66M;0,52 %
19.08.2025;3,846;3,860;3,874;3,834;2,07M;-0,67 %
18.08.2025;3,872;3,850;3,872;3,812;2,29M;0,36 %
15.08.2025;3,858;3,870;3,880;3,838;1,84M;0,05 %
14.08.2025;3,856;3,828;3,878;3,820;2,62M;1,10 %
13.08.2025;3,814;3,792;3,836;3,788;2,19M;0,85 %
12.08.2025;3,782;3,748;3,782;3,732;2,91M;1,39 %
11.08.2025;3,730;3,714;3,732;3,680;1,88M;0,43 %
08.08.2025;3,714;3,686;3,728;3,654;2,75M;0,38 %
07.08.2025;3,700;3,680;3,704;3,668;2,16M;1,20 %
06.08.2025;3,656;3,640;3,676;3,620;2,65M;0,99 %
05.08.2025;3,620;3,590;3,622;3,568;2,51M;1,34 %
04.08.2025;3,572;3,518;3,572;3,510;1,97M;2,35 %
01.08.2025;3,490;3,518;3,538;3,476;1,91M;-2,30 %
31.07.2025;3,572;3,550;3,576;3,538;2,97M;0,79 %
30.07.2025;3,544;3,504;3,550;3,488;2,46M;0,91 %
29.07.2025;3,512;3,468;3,522;3,454;2,10M;1,92 %
28.07.2025;3,446;3,472;3,522;3,430;3,01M;0,64 %
25.07.2025;3,424;3,478;3,484;3,414;2,66M;-1,55 %
24.07.2025;3,478;3,440;3,522;3,416;3,29M;1,52 %
23.07.2025;3,426;3,452;3,458;3,396;3,26M;-0,06 %
22.07.2025;3,428;3,440;3,456;3,416;1,96M;-0,58 %
21.07.2025;3,448;3,470;3,470;3,418;2,12M;-0,06 %
18.07.2025;3,450;3,430;3,460;3,428;2,82M;0,23 %
