Datos históricos de Naturgy Energy (NTGY) (1)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;26,300;26,400;26,540;26,300;655,34K;-0,08 %
13.10.2025;26,320;26,280;26,340;26,120;663,42K;0,69 %
10.10.2025;26,140;25,980;26,340;25,960;1,07M;0,69 %
09.10.2025;25,960;26,060;26,100;25,880;647,97K;0,00 %
08.10.2025;25,960;26,040;26,040;25,880;730,88K;0,46 %
07.10.2025;25,840;26,060;26,320;25,820;2,26M;-4,08 %
06.10.2025;26,940;26,780;27,080;26,720;683,31K;0,22 %
03.10.2025;26,880;26,520;26,880;26,440;405,04K;1,43 %
02.10.2025;26,500;26,280;26,500;26,100;462,74K;0,30 %
01.10.2025;26,420;26,500;26,600;26,260;351,23K;-0,15 %
30.09.2025;26,460;26,500;26,580;26,280;364,80K;-0,38 %
29.09.2025;26,560;26,940;26,940;26,460;371,64K;-1,04 %
26.09.2025;26,840;26,920;26,920;26,680;257,18K;0,30 %
25.09.2025;26,760;26,440;26,900;26,320;445,48K;1,21 %
24.09.2025;26,440;26,300;26,480;26,160;467,25K;1,38 %
23.09.2025;26,080;26,000;26,160;26,000;212,30K;0,15 %
22.09.2025;26,040;25,840;26,140;25,800;295,36K;0,77 %
19.09.2025;25,840;25,600;25,840;25,600;3,39M;0,62 %
18.09.2025;25,680;25,660;25,680;25,480;487,41K;0,39 %
17.09.2025;25,580;25,720;25,780;25,520;399,71K;-0,70 %
16.09.2025;25,760;26,360;26,360;25,760;680,96K;-2,42 %
15.09.2025;26,400;26,580;26,620;26,360;340,22K;-0,45 %
12.09.2025;26,520;26,300;26,520;26,240;412,87K;0,91 %
11.09.2025;26,280;26,220;26,340;26,100;364,88K;0,38 %
10.09.2025;26,180;26,240;26,240;25,800;868,57K;-0,08 %
09.09.2025;26,200;26,340;26,420;26,080;402,63K;-0,76 %
08.09.2025;26,400;26,460;26,520;26,320;224,71K;-0,53 %
05.09.2025;26,540;26,300;26,560;26,240;290,33K;0,91 %
04.09.2025;26,300;26,500;26,500;26,160;325,32K;-0,75 %
03.09.2025;26,500;26,800;26,820;26,400;397,62K;-1,34 %
02.09.2025;26,860;26,700;26,860;26,540;551,31K;0,52 %
01.09.2025;26,720;27,120;27,160;26,700;282,55K;-1,40 %
29.08.2025;27,100;27,200;27,400;27,100;439,02K;-0,22 %
28.08.2025;27,160;27,300;27,340;27,040;411,58K;-0,44 %
27.08.2025;27,280;27,440;27,540;27,280;310,66K;-0,44 %
26.08.2025;27,400;27,240;27,640;27,200;528,30K;0,29 %
25.08.2025;27,320;27,200;27,320;27,100;261,15K;-0,07 %
22.08.2025;27,340;27,260;27,460;27,260;307,62K;-0,36 %
21.08.2025;27,440;27,280;27,440;27,200;337,50K;0,51 %
20.08.2025;27,300;27,120;27,340;27,100;406,40K;0,74 %
19.08.2025;27,100;27,000;27,140;26,940;306,76K;0,07 %
18.08.2025;27,080;27,200;27,340;26,980;350,42K;0,00 %
15.08.2025;27,080;26,940;27,080;26,860;263,75K;0,45 %
14.08.2025;26,960;26,960;27,040;26,800;481,79K;0,30 %
13.08.2025;26,880;26,680;27,000;26,680;425,50K;0,83 %
12.08.2025;26,660;26,500;26,780;26,420;485,38K;0,91 %
11.08.2025;26,420;26,240;26,460;26,160;397,63K;0,76 %
08.08.2025;26,220;26,580;26,640;26,220;629,24K;-1,13 %
07.08.2025;26,520;26,500;26,800;26,340;483,33K;0,15 %
06.08.2025;26,480;25,940;26,480;25,880;1,19M;2,24 %
05.08.2025;25,900;26,240;26,320;25,620;2,55M;-7,17 %
04.08.2025;27,900;27,300;27,900;27,280;232,18K;2,20 %
01.08.2025;27,300;27,360;27,500;27,220;330,24K;-0,66 %
31.07.2025;27,480;27,100;27,480;27,080;460,24K;1,33 %
30.07.2025;27,120;26,780;27,120;26,700;224,05K;1,35 %
29.07.2025;26,760;26,600;26,780;26,460;302,51K;0,30 %
28.07.2025;26,680;27,060;27,080;26,640;387,45K;-2,98 %
25.07.2025;27,500;27,420;27,540;27,160;354,93K;0,44 %
24.07.2025;27,380;27,520;27,740;27,040;443,27K;0,37 %
23.07.2025;27,280;27,320;27,820;26,780;718,59K;-0,94 %
22.07.2025;27,540;27,200;27,660;27,200;317,16K;0,88 %
21.07.2025;27,300;27,260;27,300;27,100;239,02K;0,96 %
18.07.2025;27,040;26,900;27,120;26,900;396,03K;0,15 %
17.07.2025;27,000;27,000;27,080;26,920;245,17K;0,00 %
16.07.2025;27,000;27,000;27,100;26,980;194,12K;0,00 %
15.07.2025;27,000;27,140;27,220;26,980;228,87K;-0,66 %
14.07.2025;27,180;27,120;27,200;26,980;218,69K;0,22 %
11.07.2025;27,120;27,020;27,180;26,940;193,46K;0,07 %
10.07.2025;27,100;27,420;27,420;27,040;208,31K;-0,81 %
09.07.2025;27,320;27,360;27,460;27,300;245,04K;-0,07 %
08.07.2025;27,340;27,360;27,360;27,160;258,10K;0,29 %
07.07.2025;27,260;27,380;27,460;27,180;236,93K;-0,94 %
04.07.2025;27,520;27,300;27,540;27,120;248,46K;1,03 %
03.07.2025;27,240;27,120;27,300;27,020;268,38K;0,29 %
02.07.2025;27,160;27,280;27,360;27,020;316,06K;-0,22 %
01.07.2025;27,220;27,140;27,480;26,920;427,16K;0,81 %
30.06.2025;27,000;27,140;27,140;26,880;283,69K;0,67 %
27.06.2025;26,820;26,500;26,920;26,440;300,31K;1,21 %
26.06.2025;26,500;26,620;26,800;26,420;377,15K;-0,45 %
25.06.2025;26,620;27,360;27,380;26,480;560,29K;-2,70 %
24.06.2025;27,360;27,500;27,780;27,280;769,16K;-0,22 %
23.06.2025;27,420;27,180;27,480;27,060;682,54K;0,44 %
20.06.2025;27,300;26,760;27,300;26,380;2,58M;1,94 %
19.06.2025;26,780;26,620;26,780;26,500;210,63K;0,45 %
18.06.2025;26,660;26,700;26,880;26,640;316,63K;0,30 %
17.06.2025;26,580;26,600;26,760;26,440;797,07K;-0,08 %
16.06.2025;26,600;26,500;26,860;26,380;454,27K;0,38 %
13.06.2025;26,500;26,380;26,520;26,280;206,70K;0,30 %
12.06.2025;26,420;26,180;26,420;26,180;269,63K;0,69 %
11.06.2025;26,240;26,140;26,320;26,100;168,01K;0,00 %
10.06.2025;26,240;26,200;26,300;26,120;162,89K;0,08 %
09.06.2025;26,220;26,300;26,320;26,100;135,45K;-0,30 %
06.06.2025;26,300;26,080;26,300;26,080;337,40K;0,92 %
05.06.2025;26,060;25,920;26,060;25,860;243,85K;0,70 %
04.06.2025;25,880;25,960;26,120;25,880;441,85K;-0,38 %
03.06.2025;25,980;26,160;26,220;25,980;260,76K;-0,38 %
02.06.2025;26,080;26,020;26,140;25,880;282,07K;0,23 %
30.05.2025;26,020;25,980;26,060;25,880;378,81K;0,70 %
29.05.2025;25,840;25,980;25,980;25,740;227,54K;0,00 %
28.05.2025;25,840;25,960;26,000;25,820;236,88K;-0,39 %
27.05.2025;25,940;26,160;26,240;25,940;278,09K;-0,99 %
26.05.2025;26,200;26,340;26,400;26,160;183,59K;-0,53 %
