Datos históricos de Repsol (REP)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;14,545;14,590;14,600;14,385;2,52M;-0,48 %
13.10.2025;14,615;14,590;14,710;14,560;2,16M;0,90 %
10.10.2025;14,485;14,515;14,710;14,435;3,03M;-0,62 %
09.10.2025;14,575;14,800;14,855;14,555;3,96M;-2,18 %
08.10.2025;14,900;15,050;15,120;14,815;3,12M;-0,17 %
07.10.2025;14,925;15,250;15,345;14,920;3,35M;-2,16 %
06.10.2025;15,255;15,155;15,360;15,130;3,12M;1,40 %
03.10.2025;15,045;15,040;15,205;15,010;3,36M;0,20 %
02.10.2025;15,015;15,290;15,305;15,015;3,38M;-1,80 %
01.10.2025;15,290;15,120;15,290;15,035;2,53M;1,49 %
30.09.2025;15,065;15,295;15,335;14,660;5,77M;-2,30 %
29.09.2025;15,420;15,555;15,680;15,405;3,45M;-1,44 %
26.09.2025;15,645;15,575;15,700;15,505;3,27M;0,84 %
25.09.2025;15,515;15,300;15,540;15,245;5,00M;1,37 %
24.09.2025;15,305;14,800;15,315;14,785;5,84M;3,13 %
23.09.2025;14,840;14,455;14,940;14,380;5,20M;2,70 %
22.09.2025;14,450;14,470;14,525;14,360;2,50M;0,03 %
19.09.2025;14,445;14,660;14,765;14,375;5,34M;-1,57 %
18.09.2025;14,675;14,750;14,785;14,630;2,02M;-0,44 %
17.09.2025;14,740;14,785;14,860;14,650;2,78M;-0,71 %
16.09.2025;14,845;14,800;14,845;14,520;3,40M;0,68 %
15.09.2025;14,745;14,560;14,800;14,560;3,30M;1,20 %
12.09.2025;14,570;14,410;14,600;14,315;2,83M;0,41 %
11.09.2025;14,510;14,625;14,705;14,425;2,82M;-0,24 %
10.09.2025;14,545;14,575;14,730;14,460;3,36M;-0,31 %
09.09.2025;14,590;14,440;14,640;14,395;4,23M;1,39 %
08.09.2025;14,390;14,295;14,440;14,280;3,17M;1,41 %
05.09.2025;14,190;14,310;14,395;14,090;3,52M;-0,94 %
04.09.2025;14,325;14,150;14,395;14,150;3,26M;0,77 %
03.09.2025;14,215;14,090;14,370;14,090;4,84M;0,57 %
02.09.2025;14,135;14,110;14,235;14,030;3,35M;0,11 %
01.09.2025;14,120;14,000;14,135;13,965;2,77M;0,79 %
29.08.2025;14,010;13,980;14,040;13,860;2,39M;0,54 %
28.08.2025;13,935;13,870;13,940;13,790;1,77M;0,80 %
27.08.2025;13,825;13,880;13,960;13,730;2,07M;-0,50 %
26.08.2025;13,895;14,000;14,055;13,840;3,51M;-1,00 %
25.08.2025;14,035;13,810;14,045;13,780;3,09M;0,93 %
22.08.2025;13,905;13,880;13,980;13,875;3,34M;0,40 %
