Datos históricos de Santander (SAN) (1)
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;8,5220;8,5380;8,5590;8,4320;21,30M;-1,15 %
13.10.2025;8,6210;8,6100;8,6780;8,5680;13,03M;1,19 %
10.10.2025;8,5200;8,6430;8,7620;8,5200;19,95M;-1,47 %
09.10.2025;8,6470;8,7220;8,7460;8,6140;14,30M;-1,31 %
08.10.2025;8,7620;8,6140;8,7980;8,6120;18,00M;1,92 %
07.10.2025;8,5970;8,6120;8,7040;8,5810;19,61M;-1,10 %
06.10.2025;8,6930;8,7200;8,7910;8,6110;17,68M;-0,62 %
03.10.2025;8,7470;8,7460;8,8300;8,7110;15,43M;0,98 %
02.10.2025;8,6620;8,8600;8,8730;8,6620;23,33M;-1,80 %
01.10.2025;8,8210;8,8300;8,9120;8,7180;22,85M;-0,60 %
30.09.2025;8,8740;8,7670;8,8820;8,7510;19,91M;1,45 %
29.09.2025;8,7470;8,8630;8,8760;8,7470;19,78M;-1,16 %
26.09.2025;8,8500;8,7500;8,8800;8,7200;20,91M;1,62 %
25.09.2025;8,7090;8,7270;8,7540;8,6500;19,75M;-0,33 %
24.09.2025;8,7380;8,6650;8,7940;8,5710;19,33M;0,59 %
23.09.2025;8,6870;8,6000;8,7020;8,5510;21,78M;1,59 %
22.09.2025;8,5510;8,6510;8,6890;8,5050;16,55M;-1,19 %
19.09.2025;8,6540;8,5890;8,7340;8,5410;82,75M;1,44 %
18.09.2025;8,5310;8,5210;8,5800;8,4270;22,79M;1,67 %
17.09.2025;8,3910;8,4220;8,4580;8,3710;18,51M;-0,14 %
16.09.2025;8,4030;8,5630;8,5930;8,4030;22,36M;-2,40 %
15.09.2025;8,6100;8,5350;8,6320;8,5140;20,76M;1,41 %
12.09.2025;8,4900;8,5320;8,5380;8,3780;22,71M;-0,60 %
11.09.2025;8,5410;8,4820;8,5410;8,4010;22,91M;0,78 %
10.09.2025;8,4750;8,3400;8,4980;8,2990;29,80M;1,83 %
09.09.2025;8,3230;8,2900;8,3230;8,1840;17,39M;0,41 %
08.09.2025;8,2890;8,1270;8,2890;8,1120;20,46M;2,47 %
05.09.2025;8,0890;8,2000;8,2480;8,0540;18,18M;-1,18 %
04.09.2025;8,1860;8,1000;8,1860;8,0160;20,10M;1,26 %
03.09.2025;8,0840;8,0500;8,0880;7,9900;14,32M;0,42 %
02.09.2025;8,0500;8,1990;8,2180;7,9860;18,27M;-1,82 %
01.09.2025;8,1990;8,1880;8,2040;8,1150;10,91M;0,48 %
29.08.2025;8,1600;8,2150;8,2310;8,0470;21,42M;-0,91 %
28.08.2025;8,2350;8,1190;8,2660;8,1040;18,97M;2,13 %
27.08.2025;8,0630;8,1480;8,1790;7,9900;20,64M;-1,06 %
26.08.2025;8,1490;8,1570;8,2010;8,0850;36,54M;-1,63 %
25.08.2025;8,2840;8,2600;8,3380;8,2540;10,44M;-0,38 %
22.08.2025;8,3160;8,2200;8,3170;8,2100;14,64M;0,71 %
21.08.2025;8,2570;8,1840;8,2570;8,1250;15,50M;1,02 %
20.08.2025;8,1740;8,1800;8,2110;8,0950;15,29M;-0,80 %
19.08.2025;8,2400;8,1970;8,3180;8,1970;17,73M;0,45 %
18.08.2025;8,2030;8,2000;8,2350;8,0890;15,65M;-0,50 %
15.08.2025;8,2440;8,2500;8,3240;8,2200;18,70M;0,32 %
14.08.2025;8,2180;8,1320;8,2230;8,1110;20,81M;1,01 %
13.08.2025;8,1360;8,0290;8,1480;8,0290;22,51M;1,51 %
12.08.2025;8,0150;8,0000;8,0640;7,9500;20,42M;0,19 %
11.08.2025;8,0000;7,9600;8,0000;7,8110;19,95M;0,57 %
08.08.2025;7,9550;7,7930;7,9550;7,7780;27,11M;2,32 %
07.08.2025;7,7750;7,6360;7,7760;7,6220;24,46M;2,20 %
06.08.2025;7,6080;7,5400;7,6080;7,4890;17,08M;1,56 %
05.08.2025;7,4910;7,5000;7,5380;7,3650;18,76M;0,15 %
04.08.2025;7,4800;7,2910;7,4870;7,2590;19,68M;3,96 %
01.08.2025;7,1950;7,4090;7,4710;7,1640;43,00M;-4,52 %
31.07.2025;7,5360;7,6960;7,7500;7,5110;35,73M;-2,05 %
30.07.2025;7,6940;7,6370;7,6940;7,4800;30,41M;-0,30 %
29.07.2025;7,7170;7,6060;7,8040;7,5930;34,09M;2,18 %
28.07.2025;7,5520;7,6650;7,7240;7,5450;20,13M;-0,54 %
25.07.2025;7,5930;7,5340;7,6160;7,5030;15,68M;0,21 %
24.07.2025;7,5770;7,4700;7,5930;7,4540;26,67M;2,63 %
23.07.2025;7,3830;7,3000;7,3900;7,2640;22,56M;2,14 %
22.07.2025;7,2280;7,2430;7,2790;7,1440;14,24M;-0,77 %
21.07.2025;7,2840;7,2320;7,2970;7,1740;14,23M;0,41 %
18.07.2025;7,2540;7,2700;7,3220;7,2340;18,03M;-0,49 %
17.07.2025;7,2900;7,2220;7,2920;7,2070;14,58M;1,65 %
16.07.2025;7,1720;7,1300;7,2520;7,1300;17,21M;0,39 %
15.07.2025;7,1440;7,2800;7,3000;7,0870;14,23M;-1,20 %
14.07.2025;7,2310;7,1130;7,2490;7,1060;17,88M;0,26 %
11.07.2025;7,2120;7,3140;7,3300;7,1670;15,90M;-1,76 %
10.07.2025;7,3410;7,5290;7,5410;7,3410;24,24M;-2,77 %
09.07.2025;7,5500;7,3930;7,5500;7,3870;31,05M;2,37 %
08.07.2025;7,3750;7,3000;7,3930;7,2820;29,74M;1,04 %
07.07.2025;7,2990;7,1200;7,2990;7,1170;21,44M;2,38 %
04.07.2025;7,1290;7,1990;7,2460;7,0680;17,15M;-1,64 %
03.07.2025;7,2480;7,1400;7,2480;7,0630;25,50M;1,80 %
02.07.2025;7,1200;7,0500;7,1970;7,0090;35,84M;2,23 %
01.07.2025;6,9650;7,0310;7,0690;6,9350;15,62M;-0,88 %
30.06.2025;7,0270;7,0370;7,0530;6,9180;19,67M;-0,14 %
27.06.2025;7,0370;6,9300;7,0370;6,8930;19,74M;2,19 %
26.06.2025;6,8860;6,9130;6,9380;6,8380;18,45M;-0,25 %
25.06.2025;6,9030;7,0780;7,0840;6,8620;19,69M;-2,39 %
24.06.2025;7,0720;7,0000;7,0870;6,9500;27,22M;3,14 %
23.06.2025;6,8570;6,8800;6,9630;6,7950;19,71M;-0,84 %
20.06.2025;6,9150;6,8200;6,9760;6,8200;47,45M;1,77 %
19.06.2025;6,7950;6,9230;6,9400;6,7900;19,43M;-2,40 %
18.06.2025;6,9620;6,8900;6,9640;6,8620;17,46M;0,36 %
17.06.2025;6,9370;7,0750;7,0810;6,8750;23,97M;-2,68 %
16.06.2025;7,1280;6,8930;7,1280;6,8930;31,55M;3,92 %
13.06.2025;6,8590;6,8510;6,8910;6,8080;25,21M;-2,00 %
12.06.2025;6,9990;6,9000;7,0320;6,8740;18,27M;0,53 %
11.06.2025;6,9620;6,9550;7,0210;6,9160;20,92M;0,32 %
10.06.2025;6,9400;7,0430;7,0650;6,9400;21,52M;-2,02 %
09.06.2025;7,0830;7,0440;7,0940;7,0280;13,80M;0,07 %
06.06.2025;7,0780;7,0260;7,1210;6,9950;19,16M;0,41 %
05.06.2025;7,0490;6,9670;7,0620;6,9150;18,05M;1,42 %
04.06.2025;6,9500;7,0150;7,0540;6,8910;17,35M;-0,71 %
03.06.2025;7,0000;7,0330;7,0650;6,9010;23,32M;-0,58 %
02.06.2025;7,0410;6,9840;7,0800;6,9650;16,43M;0,14 %
30.05.2025;7,0310;7,0300;7,1050;6,9640;53,59M;0,01 %
29.05.2025;7,0300;7,1120;7,1140;7,0300;17,16M;-0,06 %
28.05.2025;7,0340;7,0880;7,1430;7,0270;25,82M;-1,00 %
27.05.2025;7,1050;7,0470;7,1070;7,0090;27,06M;0,67 %
26.05.2025;7,0580;7,0630;7,1040;7,0200;22,99M;1,26 %
23.05.2025;6,9700;7,0700;7,1950;6,7540;44,04M;-1,47 %
22.05.2025;7,0740;6,9970;7,0850;6,8700;25,09M;0,54 %
21.05.2025;7,0360;7,0400;7,1500;7,0120;26,38M;-0,11 %
20.05.2025;7,0440;6,9530;7,0950;6,8700;36,14M;1,45 %
19.05.2025;6,9430;6,9000;6,9940;6,8770;22,72M;0,43 %
16.05.2025;6,9130;6,8900;6,9240;6,8390;28,80M;0,63 %
15.05.2025;6,8700;6,8490;6,8940;6,8090;22,03M;-0,39 %
14.05.2025;6,8970;6,8000;6,8970;6,7520;36,78M;1,68 %
13.05.2025;6,7830;6,7280;6,7890;6,7210;22,94M;0,27 %
12.05.2025;6,7650;6,6760;6,7940;6,6760;32,71M;1,68 %
09.05.2025;6,6530;6,5600;6,6530;6,5300;6,56K;1,40 %
08.05.2025;6,5610;6,3920;6,5610;6,3650;25,42K;3,31 %
07.05.2025;6,3510;6,3600;6,4080;6,3270;6,79K;0,03 %
06.05.2025;6,3490;6,3900;6,4370;6,2570;7,70K;-0,55 %
05.05.2025;6,3840;6,4000;6,4280;6,3200;20,85M;0,74 %
02.05.2025;6,3370;6,2570;6,3370;6,2120;35,99K;2,51 %
30.04.2025;6,1820;6,3680;6,3900;5,9990;686,74K;-3,90 %
29.04.2025;6,4330;6,5000;6,5300;6,3760;100,81K;-1,56 %
28.04.2025;6,5350;6,4300;6,5630;6,4080;426,91K;1,85 %
25.04.2025;6,4160;6,3060;6,4160;6,2860;136,81K;2,59 %
24.04.2025;6,2540;6,2940;6,3220;6,2000;20,99M;-1,04 %
23.04.2025;6,3200;6,1620;6,3370;6,1600;44,81M;4,41 %
22.04.2025;6,0530;5,9660;6,0750;5,9470;25,14M;1,87 %
17.04.2025;5,9420;6,0100;6,0270;5,9130;29,40M;-1,38 %
16.04.2025;6,0250;5,9730;6,0250;5,9110;4,33K;0,32 %
15.04.2025;6,0060;5,8250;6,0350;5,8150;20,19K;3,59 %
14.04.2025;5,7980;5,7830;5,8290;5,6950;30,00K;3,76 %
11.04.2025;5,5880;5,6740;5,7080;5,5100;28,82K;-1,31 %
10.04.2025;5,6620;6,3720;6,3720;5,6620;33,93K;5,54 %
