Datos históricos del S&P 500 VIX
Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
14.10.2025;20,81;21,46;22,94;19,18;;9,35 %
13.10.2025;19,03;19,45;20,77;18,61;;-12,14 %
10.10.2025;21,66;16,36;22,44;16,23;;31,83 %
09.10.2025;16,43;16,31;17,27;16,26;;0,80 %
08.10.2025;16,30;17,17;17,20;16,23;;-5,45 %
07.10.2025;17,24;16,58;17,55;16,19;;5,31 %
06.10.2025;16,37;16,74;17,09;16,29;;-1,68 %
03.10.2025;16,65;16,35;17,06;16,20;;0,12 %
02.10.2025;16,63;16,12;16,92;15,93;;2,09 %
01.10.2025;16,29;17,28;17,28;15,98;;0,06 %
30.09.2025;16,28;16,49;16,70;16,02;;0,99 %
29.09.2025;16,12;15,84;16,29;15,74;;5,43 %
26.09.2025;15,29;16,89;17,05;15,29;;-8,66 %
25.09.2025;16,74;16,55;17,74;16,32;;3,46 %
24.09.2025;16,18;16,57;17,21;16,18;;-2,76 %
23.09.2025;16,64;16,10;17,07;15,95;;3,35 %
22.09.2025;16,10;16,14;16,35;15,78;;4,21 %
19.09.2025;15,45;15,76;16,13;15,29;;-1,59 %
18.09.2025;15,70;14,93;15,80;14,33;;-0,13 %
17.09.2025;15,72;16,42;16,75;15,26;;-3,91 %
16.09.2025;16,36;15,60;16,38;15,44;;4,27 %
15.09.2025;15,69;15,14;15,84;14,92;;6,30 %
12.09.2025;14,76;14,62;14,97;14,41;;0,34 %
11.09.2025;14,71;15,19;15,24;14,65;;-4,17 %
10.09.2025;15,35;14,98;15,63;14,63;;2,06 %
09.09.2025;15,04;15,02;15,82;14,97;;-0,46 %
08.09.2025;15,11;15,58;15,65;14,99;;-0,46 %
05.09.2025;15,18;15,23;16,92;14,74;;-0,78 %
04.09.2025;15,30;16,22;16,35;15,28;;-6,42 %
03.09.2025;16,35;17,40;17,57;16,34;;-4,78 %
02.09.2025;17,17;16,65;19,38;16,55;;6,51 %
01.09.2025;16,12;16,17;16,79;15,08;;4,95 %
29.08.2025;15,36;14,31;15,97;14,31;;6,44 %
28.08.2025;14,43;14,42;14,69;14,12;;-2,83 %
27.08.2025;14,85;14,66;15,23;14,66;;1,57 %
26.08.2025;14,62;15,75;15,75;14,62;;-1,15 %
25.08.2025;14,79;15,05;15,19;14,24;;4,01 %
22.08.2025;14,22;16,81;16,83;14,21;;-14,34 %
21.08.2025;16,60;15,72;17,24;15,65;;5,80 %
20.08.2025;15,69;15,95;17,19;15,57;;0,77 %
19.08.2025;15,57;15,23;15,91;14,76;;3,87 %
18.08.2025;14,99;15,73;15,95;14,95;;-0,66 %
15.08.2025;15,09;14,43;15,18;14,40;;1,75 %
14.08.2025;14,83;14,66;15,39;14,57;;2,35 %
13.08.2025;14,49;14,62;14,81;14,30;;-1,63 %
12.08.2025;14,73;16,09;16,56;14,66;;-9,35 %
11.08.2025;16,25;15,81;16,36;15,52;;7,26 %
08.08.2025;15,15;16,48;16,52;15,15;;-8,57 %
07.08.2025;16,57;16,41;17,64;15,98;;-1,19 %
06.08.2025;16,77;17,22;17,88;16,56;;-6,05 %
05.08.2025;17,85;17,21;18,94;17,11;;1,88 %
04.08.2025;17,52;19,56;19,58;17,48;;-14,03 %
01.08.2025;20,38;17,40;21,90;17,39;;21,89 %
31.07.2025;16,72;14,99;17,17;14,74;;8,01 %
30.07.2025;15,48;15,87;17,27;15,44;;-3,13 %
29.07.2025;15,98;14,95;16,12;14,70;;6,32 %
28.07.2025;15,03;15,15;15,54;15,00;;0,67 %
25.07.2025;14,93;15,33;15,39;14,92;;-2,99 %
24.07.2025;15,39;15,39;15,54;14,95;;0,13 %
23.07.2025;15,37;16,23;16,32;15,32;;-6,85 %
22.07.2025;16,50;16,75;17,48;16,43;;-0,90 %
21.07.2025;16,65;16,87;16,99;16,30;;1,46 %
18.07.2025;16,41;16,43;16,81;16,28;;-0,67 %
17.07.2025;16,52;17,16;17,37;16,48;;-3,73 %
16.07.2025;17,16;17,66;19,48;16,69;;-1,27 %
15.07.2025;17,38;16,89;17,39;16,56;;1,05 %
14.07.2025;17,20;17,73;17,85;16,91;;4,88 %
11.07.2025;16,40;16,41;17,24;15,98;;3,93 %
10.07.2025;15,78;16,23;16,24;15,70;;-1,00 %
09.07.2025;15,94;16,76;16,76;15,76;;-5,18 %
08.07.2025;16,81;17,41;17,44;16,54;;-5,51 %
07.07.2025;17,79;17,83;18,50;17,51;;1,77 %
04.07.2025;17,48;16,93;17,67;16,92;;6,72 %
03.07.2025;16,38;16,65;16,83;16,14;;-1,56 %
02.07.2025;16,64;16,75;17,37;16,54;;-1,13 %
01.07.2025;16,83;16,98;17,48;16,51;;0,60 %
30.06.2025;16,73;17,19;17,43;16,55;;2,51 %
27.06.2025;16,32;16,31;17,29;16,12;;-1,63 %
26.06.2025;16,59;16,67;16,78;16,11;;-1,01 %
25.06.2025;16,76;17,28;17,51;16,68;;-4,12 %
24.06.2025;17,48;18,19;18,72;17,33;;-11,85 %
23.06.2025;19,83;21,15;22,51;19,82;;-3,83 %
20.06.2025;20,62;20,74;21,07;19,11;;-6,99 %
19.06.2025;22,17;21,51;22,75;21,18;;10,08 %
18.06.2025;20,14;20,90;21,58;19,59;;-6,76 %
17.06.2025;21,60;20,53;21,79;19,55;;13,03 %
16.06.2025;19,11;19,78;20,22;18,67;;-8,21 %
