Grupos ECOICOP	Tipo de dato	Periodo	Total
Índice general	Índice	2025M10	119,301
Índice general	Índice	2025M09	118,485
Índice general	Índice	2025M08	118,824
Índice general	Índice	2025M07	118,777
Índice general	Índice	2025M06	118,867
Índice general	Índice	2025M05	118,077
Índice general	Índice	2025M04	117,997
Índice general	Índice	2025M03	117,260
Índice general	Índice	2025M02	117,191
Índice general	Índice	2025M01	116,733
Índice general	Índice	2024M12	116,534
Índice general	Índice	2024M11	116,010
Índice general	Índice	2024M10	115,726
Índice general	Índice	2024M09	115,009
Índice general	Índice	2024M08	115,707
Índice general	Índice	2024M07	115,660
Índice general	Índice	2024M06	116,212
Índice general	Índice	2024M05	115,776
Índice general	Índice	2024M04	115,472
Índice general	Índice	2024M03	114,674
Índice general	Índice	2024M02	113,807
Índice general	Índice	2024M01	113,404
Índice general	Índice	2023M12	113,308
Índice general	Índice	2023M11	113,280
Índice general	Índice	2023M10	113,676
Índice general	Índice	2023M09	113,348
Índice general	Índice	2023M08	113,149
Índice general	Índice	2023M07	112,544
Índice general	Índice	2023M06	112,354
Índice general	Índice	2023M05	111,719
Índice general	Índice	2023M04	111,773
Índice general	Índice	2023M03	111,111
Índice general	Índice	2023M02	110,703
Índice general	Índice	2023M01	109,668
Índice general	Índice	2022M12	109,899
Índice general	Índice	2022M11	109,734
Índice general	Índice	2022M10	109,866
Índice general	Índice	2022M09	109,498
Índice general	Índice	2022M08	110,265
Índice general	Índice	2022M07	109,986
Índice general	Índice	2022M06	110,267
Índice general	Índice	2022M05	108,262
Índice general	Índice	2022M04	107,375
Índice general	Índice	2022M03	107,566
Índice general	Índice	2022M02	104,403
Índice general	Índice	2022M01	103,567
Índice general	Índice	2021M12	103,965
Índice general	Índice	2021M11	102,738
Índice general	Índice	2021M10	102,425
Índice general	Índice	2021M09	100,575
Índice general	Índice	2021M08	99,743
Índice general	Índice	2021M07	99,292
Índice general	Índice	2021M06	100,046
Índice general	Índice	2021M05	99,572
Índice general	Índice	2021M04	99,105
Índice general	Índice	2021M03	97,949
Índice general	Índice	2021M02	97,008
Índice general	Índice	2021M01	97,583
Índice general	Índice	2020M12	97,574
Índice general	Índice	2020M11	97,367
Índice general	Índice	2020M10	97,208
Índice general	Variación mensual	2025M10	0,7
Índice general	Variación mensual	2025M09	-0,3
Índice general	Variación mensual	2025M08	0,0
Índice general	Variación mensual	2025M07	-0,1
Índice general	Variación mensual	2025M06	0,7
Índice general	Variación mensual	2025M05	0,1
Índice general	Variación mensual	2025M04	0,6
Índice general	Variación mensual	2025M03	0,1
Índice general	Variación mensual	2025M02	0,4
Índice general	Variación mensual	2025M01	0,2
Índice general	Variación mensual	2024M12	0,5
Índice general	Variación mensual	2024M11	0,2
Índice general	Variación mensual	2024M10	0,6
Índice general	Variación mensual	2024M09	-0,6
Índice general	Variación mensual	2024M08	0,0
Índice general	Variación mensual	2024M07	-0,5
Índice general	Variación mensual	2024M06	0,4
Índice general	Variación mensual	2024M05	0,3
Índice general	Variación mensual	2024M04	0,7
Índice general	Variación mensual	2024M03	0,8
Índice general	Variación mensual	2024M02	0,4
Índice general	Variación mensual	2024M01	0,1
Índice general	Variación mensual	2023M12	0,0
Índice general	Variación mensual	2023M11	-0,3
Índice general	Variación mensual	2023M10	0,3
Índice general	Variación mensual	2023M09	0,2
Índice general	Variación mensual	2023M08	0,5
Índice general	Variación mensual	2023M07	0,2
Índice general	Variación mensual	2023M06	0,6
Índice general	Variación mensual	2023M05	0,0
Índice general	Variación mensual	2023M04	0,6
Índice general	Variación mensual	2023M03	0,4
Índice general	Variación mensual	2023M02	0,9
Índice general	Variación mensual	2023M01	-0,2
