"Año";"Periodo";"Tasa de depósito (DFR)";"Tasa de facilidad de préstamo (MLF)";"Tipo de Interés (MRO)"
"2008";"Octubre";"3,25";"4,25";"3,75"
"2008";"Noviembre";"2,75";"3,75";"3,25"
"2008";"Diciembre";"2";"3";"2,50"
"2009";"Enero";"1";"3";"2"
"2009";"Marzo";"0,50";"2,50";"1,50"
"2009";"Abril";"0,25";"2,25";"1,25"
"2009";"Mayo";"0,25";"1,75";"1"
"2011";"Abril";"0,50";"2";"1,25"
"2011";"Julio";"0,75";"2,25";"1,50"
"2011";"Noviembre";"0,50";"2";"1,25"
"2011";"Diciembre";"0,25";"1,75";"1"
"2012";"Julio";"0";"1,50";"0,75"
"2013";"Mayo";"0";"1";"0,50"
"2013";"Noviembre";"0";"0,75";"0,25"
"2014";"Junio";"-0,10";"0,40";"0,15"
"2014";"Septiembre";"-0,20";"0,30";"0,05"
"2015";"Diciembre";"-0,30";"0,30";"0,05"
"2016";"Marzo";"-0,40";"0,25";"0"
"2019";"Septiembre";"-0,50";"0,25";"0"
"2022";"Julio";"0";"0,75";"0,50"
"2022";"Septiembre";"0,75";"1,50";"1,25"
"2022";"Noviembre";"1,50";"2,25";"2"
"2022";"Diciembre";"2";"2,75";"2,50"
"2023";"Febrero";"2,50";"3,25";"3"
"2023";"Marzo";"3";"3,75";"3,50"
"2023";"Mayo";"3,25";"4";"3,75"
"2023";"Junio";"3,50";"4,25";"4"
"2023";"Julio";"3,75";"4,50";"4,25"
"2023";"Septiembre";"4";"4,75";"4,50"
"2023";"Octubre";"4";"4,75";"4,50"
"2023";"Diciembre";"4";"4,75";"4,50"
"2024";"Enero";"4";"4,75";"4,50"
"2024";"Marzo";"4";"4,75";"4,50"
"2024";"Abril";"4";"4,75";"4,50"
"2024";"Junio";"3,75";"4,50";"4,25"
"2024";"Julio";"3,75";"4,50";"4,25"
"2024";"Septiembre";"3,50";"3,90";"3,65"
"2024";"Octubre";"3,25";"3,65";"3,40"
"2024";"Diciembre";"3";"3,40";"3,15"
"2025";"Enero";"2,75";"3,15";"2,90"
"2025";"Marzo";"2,50";"2,90";"2,65"
"2025";"Abril";"2,25";"2,65";"2,40"
"2025";"Junio";"2";"2,40";"2,15"
"2025";"Julio";"2";"2,40";"2,15"
"2025";"Septiembre";"2";"2,40";"2,15"
"2025";"Octubre";"2";"2,40";"2,15"
;;;;
;;;;
"Métrica":"Tasa de depósito (DFR)"
"Fuente":"BCE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Tasa de facilidad de préstamo (MLF)"
"Fuente":"BCE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Tipo de Interés (MRO)"
"Fuente":"BCE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://www.epdata.es/tipos-interes-aplicados-banco-central-europeo-bce/435face4-4e8f-46ee-b135-736fc6ef8d3b"
"Titulo":"Tipos de interés aplicados por el Banco Central Europeo (BCE)"
"Subtitulo":""
